           1   2.00000000000000       1.548253265400988E-005
           2   2.10000000000000       2.185092388469381E-005
           3   2.20000000000000       2.464650761098859E-005
           4   2.30000000000000       1.834510365176230E-005
           5   2.40000000000000       6.825509539221359E-006
           6   2.50000000000000       3.712598282624139E-005
           7   2.60000000000000       1.352381092141134E-005
           8   2.80000000000000       1.293495553037180E-005
           9   3.00000000000000       1.661181009517458E-005
          10   3.20000000000000       1.242069280820872E-005
          11   3.40000000000000       5.840870780583722E-006
          12   3.60000000000000       1.280273734021683E-005
          13   3.80000000000000       1.025704959126941E-005
          14   4.00000000000000       1.107852865953674E-005
