#Statistical Error in MD (https://doi.org/10.1063/1.449733)
#nr  Umb_mean delta_G sqrt(delta_G)
 1    2.00      0.00   0.000000
 2    2.10      0.04   0.191708
 3    2.20      0.08   0.287272
 4    2.30      0.13   0.364408
 5    2.40      0.17   0.410456
 6    2.50      0.23   0.480394
 7    2.60      0.30   0.550071
 8    2.80      0.45   0.672760
 9    3.00      0.59   0.769001
10    3.20      0.71   0.840050
11    3.40      0.78   0.881812
12    3.60      0.85   0.922499
13    3.80      0.94   0.970468
14    4.00      1.03   1.012828
